"TIMESTAMP","DURATION_MS","PROTOCOL","EVENT","FROM","TO","TIMESLOT","COLOR_CODE","ALGORITHM","KEY","DETAILS"
"2025:05:12:16:21:40","2091","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","2507","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","2856","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","3206","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","3360","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:46","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:46","100","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:46","394","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:46","748","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:46","893","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","43","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","352","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","700","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","1052","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","1448","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","1796","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:23:40","1958","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:25:58","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:25:58","399","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:25:58","699","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:25:58","1097","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:25:58","1197","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","43","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","353","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","693","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","1047","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","1419","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","1795","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","2183","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","2478","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:02","2882","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
