TIMESTAMP,DURATION_MS,PROTOCOL,EVENT,FROM,TO,CHANNEL_NUMBER,FREQUENCY,TIMESLOT,DETAILS,EVENT_ID
"2025:05:12:10:19:54","352","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","706","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","1087","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","1425","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","1750","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","2145","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","2252","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:58","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","328","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","722","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","1029","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","1416","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","1730","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","2103","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:19:58","2944","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1862795961"
"2025:05:12:10:20:02","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","47","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","382","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","783","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","1815","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","2205","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","2592","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","2918","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","3248","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","3621","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:02","3737","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1068033016"
"2025:05:12:10:20:09","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","37","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","340","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","692","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","1023","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","1411","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","1767","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","2164","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","2521","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","2823","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:09","2968","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","773361399"
"2025:05:12:10:20:13","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","304916535"
"2025:05:12:10:20:13","86","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","304916535"
"2025:05:12:10:20:13","390","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","304916535"
"2025:05:12:10:20:13","1439","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","304916535"
"2025:05:12:10:20:13","1585","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","304916535"
